"Path","InEditorFolder","Namespace","Suggest","Status","UsesUnityEditor","MenuItemAttr","EditorWindow","MonoBehaviour","ScriptableObj"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Dialogue\CaseGraph.cs","False","","Runtime","OK","False","False","False","False","True"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Dialogue\DialogueController.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Dialogue\DialogueRunner.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Dialogue\DialogueTyper.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\FTUE\FTUEFollower.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\FTUE\FTUEHintController.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\Compat\LegacyNamespaceShims.cs","False","AQ.UI.Leads","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\LeadCardData.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\LeadCardDemoBinder.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\LeadCardModels.cs","False","AQ.UI.Leads","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\LeadCardPresenter.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\LeadsBarPopulator.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\RequirementData.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\RequirementSlotView.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Leads\TierSetPopup.cs","False","AQ.App.UI.Leads","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\Animations.cs","False","AQ.App","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\DraggableItem.cs","False","AQ.App","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\ItemView.cs","False","AQ.App","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\MergeBoardView.cs","False","AQ.App","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\MergeInputAdapter.cs","False","AQ.App","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\MergeServiceStub.cs","False","AQ.App.UI.MergeBoard","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\MergeBoard\SimplePool.cs","False","AQ.App","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Narrative\DialoguePanel.cs","False","AQ.App","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Narrative\INarrativeEngine.cs","False","AQ.App","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Narrative\MiniNarrativeEngine.cs","False","AQ.App","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Runtime\TMPAsciiSanitizer.cs","False","AQ.App.UI","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Theme\Binders\ThemeImageBinder.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\App\UI\Theme\Binders\ThemeTMPBinder.cs","False","","Runtime","OK","False","False","False","True","False"
